month,category_code,group,user_count,revisit_user_count,revisit_rate
10월,apparel.shoes,구매자,2757,2369,85.93
10월,apparel.shoes,비구매자,3019533,1277426,42.31
10월,appliances.environment.vacuum,구매자,9191,7403,80.55
10월,appliances.environment.vacuum,비구매자,3013099,1272392,42.23
10월,appliances.environment.water_heater,구매자,2132,1785,83.72
10월,appliances.environment.water_heater,비구매자,3020158,1278010,42.32
10월,appliances.iron,구매자,2948,2434,82.56
10월,appliances.iron,비구매자,3019342,1277361,42.31
10월,appliances.kitchen.blender,구매자,2488,2045,82.19
10월,appliances.kitchen.blender,비구매자,3019802,1277750,42.31
10월,appliances.kitchen.kettle,구매자,2408,2060,85.55
10월,appliances.kitchen.kettle,비구매자,3019882,1277735,42.31
10월,appliances.kitchen.microwave,구매자,2949,2449,83.05
10월,appliances.kitchen.microwave,비구매자,3019341,1277346,42.31
10월,appliances.kitchen.refrigerators,구매자,7656,6120,79.94
10월,appliances.kitchen.refrigerators,비구매자,3014634,1273675,42.25
10월,appliances.kitchen.washer,구매자,10480,8089,77.19
10월,appliances.kitchen.washer,비구매자,3011810,1271706,42.22
10월,auto.accessories.player,구매자,3244,2672,82.37
10월,auto.accessories.player,비구매자,3019046,1277123,42.3
10월,computers.desktop,구매자,2204,1933,87.7
10월,computers.desktop,비구매자,3020086,1277862,42.31
10월,computers.notebook,구매자,9185,7141,77.75
10월,computers.notebook,비구매자,3013105,1272654,42.24
10월,electronics.audio.headphone,구매자,18826,15832,84.1
10월,electronics.audio.headphone,비구매자,3003464,1263963,42.08
10월,electronics.audio.subwoofer,구매자,2188,1864,85.19
10월,electronics.audio.subwoofer,비구매자,3020102,1277931,42.31
10월,electronics.clocks,구매자,10746,9135,85.01
10월,electronics.clocks,비구매자,3011544,1270660,42.19
10월,electronics.smartphone,구매자,160437,113919,71.01
10월,electronics.smartphone,비구매자,2861853,1165876,40.74
10월,electronics.tablet,구매자,3448,2812,81.55
10월,electronics.tablet,비구매자,3018842,1276983,42.3
10월,electronics.telephone,구매자,2796,2354,84.19
10월,electronics.telephone,비구매자,3019494,1277441,42.31
10월,electronics.video.tv,구매자,13476,10183,75.56
10월,electronics.video.tv,비구매자,3008814,1269612,42.2
10월,unknown,구매자,104897,87197,83.13
10월,unknown,비구매자,2917393,1192598,40.88
11월,apparel.shoes,구매자,6742,6034,89.5
11월,apparel.shoes,비구매자,3689375,1694290,45.92
11월,appliances.environment.air_heater,구매자,2758,2447,88.72
11월,appliances.environment.air_heater,비구매자,3693359,1697877,45.97
11월,appliances.environment.vacuum,구매자,14490,12217,84.31
11월,appliances.environment.vacuum,비구매자,3681627,1688107,45.85
11월,appliances.iron,구매자,3906,3319,84.97
11월,appliances.iron,비구매자,3692211,1697005,45.96
11월,appliances.kitchen.blender,구매자,3414,2948,86.35
11월,appliances.kitchen.blender,비구매자,3692703,1697376,45.97
11월,appliances.kitchen.kettle,구매자,2955,2621,88.7
11월,appliances.kitchen.kettle,비구매자,3693162,1697703,45.97
11월,appliances.kitchen.microwave,구매자,4203,3521,83.77
11월,appliances.kitchen.microwave,비구매자,3691914,1696803,45.96
11월,appliances.kitchen.oven,구매자,2973,2590,87.12
11월,appliances.kitchen.oven,비구매자,3693144,1697734,45.97
11월,appliances.kitchen.refrigerators,구매자,9773,8180,83.7
11월,appliances.kitchen.refrigerators,비구매자,3686344,1692144,45.9
11월,appliances.kitchen.washer,구매자,13565,10991,81.02
11월,appliances.kitchen.washer,비구매자,3682552,1689333,45.87
11월,auto.accessories.player,구매자,2825,2471,87.47
11월,auto.accessories.player,비구매자,3693292,1697853,45.97
11월,computers.desktop,구매자,2692,2368,87.96
11월,computers.desktop,비구매자,3693425,1697956,45.97
11월,computers.notebook,구매자,12219,9909,81.1
11월,computers.notebook,비구매자,3683898,1690415,45.89
11월,electronics.audio.headphone,구매자,25873,22490,86.92
11월,electronics.audio.headphone,비구매자,3670244,1677834,45.71
11월,electronics.clocks,구매자,15296,13576,88.76
11월,electronics.clocks,비구매자,3680821,1686748,45.83
11월,electronics.smartphone,구매자,192425,143520,74.58
11월,electronics.smartphone,비구매자,3503692,1556804,44.43
11월,electronics.tablet,구매자,4427,3750,84.71
11월,electronics.tablet,비구매자,3691690,1696574,45.96
11월,electronics.telephone,구매자,3362,2924,86.97
11월,electronics.telephone,비구매자,3692755,1697400,45.97
11월,electronics.video.tv,구매자,20597,16501,80.11
11월,electronics.video.tv,비구매자,3675520,1683823,45.81
11월,unknown,구매자,144848,122892,84.84
11월,unknown,비구매자,3551269,1577432,44.42
