month,day_n,eligible_user_count,retained_user_count,retention_rate
10월,1,2960289,315853,10.67
10월,2,2898396,229926,7.93
10월,3,2835009,201507,7.11
10월,4,2771552,183700,6.63
10월,5,2703405,172009,6.36
10월,6,2635021,166559,6.32
10월,7,2559818,163206,6.38
10월,8,2482926,153444,6.18
10월,9,2399551,147128,6.13
10월,10,2312200,141799,6.13
10월,11,2223526,134068,6.03
10월,12,2132270,130420,6.12
10월,13,2047634,124770,6.09
10월,14,1959872,121974,6.22
10월,15,1878990,112557,5.99
10월,16,1781811,105545,5.92
10월,17,1688868,99466,5.89
10월,18,1605833,92668,5.77
10월,19,1509866,87402,5.79
10월,20,1414888,82861,5.86
10월,21,1302920,77518,5.95
10월,22,1199733,71426,5.95
10월,23,1084736,64825,5.98
10월,24,957543,59687,6.23
10월,25,851711,52490,6.16
10월,26,734691,46589,6.34
10월,27,609769,40564,6.65
10월,28,466553,32305,6.92
10월,29,342291,24501,7.16
10월,30,190188,14666,7.71
11월,1,3622993,469873,12.97
11월,2,3541083,338521,9.56
11월,3,3467026,292295,8.43
11월,4,3391574,264425,7.8
11월,5,3317088,247506,7.46
11월,6,3231055,239415,7.41
11월,7,3152198,232763,7.38
11월,8,3064349,222929,7.27
11월,9,2983579,218276,7.32
11월,10,2871451,217092,7.56
11월,11,2756485,214355,7.78
11월,12,2648406,213516,8.06
11월,13,2545459,212470,8.35
11월,14,2409964,204767,8.5
11월,15,2261441,181150,8.01
11월,16,2146454,151531,7.06
11월,17,2036165,124838,6.13
11월,18,1917279,113236,5.91
11월,19,1793567,104856,5.85
11월,20,1658628,99754,6.01
11월,21,1526270,94400,6.19
11월,22,1392081,86221,6.19
11월,23,1237822,79652,6.43
11월,24,1085031,73575,6.78
11월,25,939840,67333,7.16
11월,26,778937,57820,7.42
11월,27,591628,46897,7.93
11월,28,416059,36227,8.71
11월,29,223108,19611,8.79
